objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
blmoor01,Closing_Gap_Reward_News_Release.pdf,,,News Release Gaps Award Banquet,Dr. Beth Sewell,2006-10-30,"News release about East and West Oktibbeha schools, along with many others, receiving $5,000 for their outstanding progress. ",Award; Academics,,,,From the personal collection of Jacqueline Ellis		,,Text,application/pdf,,,
blmoor02,Legacy_Juneteenth_Ball_Flyer.jpg,,,Legacy Ball,,2023-06-17,Flyer about the Legacy Ball commemorating the 55 years of B.L. Moor,Event,,,,From the personal collection of Jacqueline Ellis,,Event; Text,image/jpeg,,,
blmoor03,Lexie_Tate.jpg,,,Lexie Tate Heisman Pose,,1976,"A picture of Lexie Tate, a senior football player, doing the heisman pose. This appears in a newspaper cutout inside the yearbook from '77.",Football,,,,From the personal collection of Jacqueline Ellis,,Image; Text,image/jpeg,,,
blmoor04,Project_Collage.jpg,,,Spring Projects,Carl Small Town Center,2004,"Picture collage of a people working on the landscape project after the B.L. Moor fire. This is the project that Jerry Rice donated $30,000 to so they could break ground.",Projects,,,,From the personal collection of Jacqueline Ellis,,Image; StillImage,image/jpeg,,,
blmoor05,CC_Schools_Summaries.pdf,,,"Survey, Oktibbeha County School District page 25",MDAH Archives,1956-05,"Description summaries of each community church school which details things such as the types of material and appliances, as well as the number teachers.",Community Church Schools; Education,,,,From the personal collection of Jacqueline Ellis,,Text,application/pdf,,,
blmoor06,2009Reunion_Cover.jpg,,,Reunion Title Page 2009,Jacqueline Ellis,2009,"The front page of the 2009 reunion program, which has an eagle and US Flag on it.",Reunion; Alumni,,,,From the personal collection of Jacqueline Ellis,,Image; Text,image/jpeg,,,
blmoor07,2015Reunion_TitlePage.jpg,,,Reunion Title Page 2015,,2015,The title page for the 2015 reunion packet,Reunion; Alumni,,,,From the personal collection of Jacqueline Ellis,,Image; Text,image/jpeg,,,
blmoor09,Alumni_Lift_School.pdf,,,Alumni group plans to lift county school,"Starkville Daily News, Ann M. Tabb",cir. 2004,"News report over the start up of the alumni organization, Educational Association of East Oktibbeha County Schools (EAEOCS), that planned to use the B.L. Moor property a multi-purposeful center of educational resources for East Oktibbeha.",Projects; EOHS; Alumni,,,,From the personal collection of Jacqueline Ellis,,Text,application/pdf,,,
blmoor10,CarlSmallTown_Funding.pdf,,,Carl Small Town Center Summary for Outdoor Classroom,Kimberly Brown,2003-2004,"A request from Carl Small Town Center to grant funding for the EOCHS outdoor classroom - this includes the purpose, goals, timeline, budget, etc. involved with the project.",Projects; EOHS,,,,From the personal collection of Jacqueline Ellis,,Text,application/pdf,,,
blmoor11,EOHS_Headway.pdf,,,EOHS alumni making headway with project,"Becky Wilkes, Starkville Daily News",2005-07-01,Another report covering the beginning of the projects to beautify the EOHS campus  - including comments from current students who are helping. ,Projects; EOHS,,,,From the personal collection of Jacqueline Ellis,,Text; StillImage,application/pdf,,,
blmoor12,Alumi_Dedicate.jpg,,,Hundreds of Moor High alumni dedicate school improvements at EOCHS,"Kristin Mamrack, The Commercial Dispatch",2007-09-03,News report about EOCHS alumni story of the building facing destruction in the fire and their current efforts to improve it.,Projects; EOCHS,,,,From the personal collection of Jacqueline Ellis,,Text; StillImage,image/jpeg,,,
blmoor13,2019Juneteenth.pdf,,,Juneteenth ,"Brad Robertson, Starkville Daily News",2019-06-23,A Starkville Daily News report on the Juneteenth celebration on B.L. Moor land by having a central tent set up.,Juneteenth,,,,From the personal collection of Jacqueline Ellis,,Text; StillImage,application/pdf,,,
blmoor14,Principal_Comments.pdf,,,"Principal: Efforts by alumni, MSU helping improve school","Becky Wilkes, Starkville Daily News",2005-12-06,"Principal comments on wanting to provide opportunities to students, which the alumni have helped achieve. The article disucsses the project plans and the current topics of the Planning and Zoning Commission. ",Projects; alumni,,,,From the personal collection of Jacqueline Ellis,,Text; StillImage,application/pdf,,,
blmoor16,Conley_Retirement.pdf,,,Retiring county superintendent refelcts on 20 years of service,"Shoshana Brackett, Starkville Daily News",2007-12-23,"Superintendent Conley discusses his career, as well as what is next for him. ",Retirement; Education,,,,From the personal collection of Jacqueline Ellis,,Text; StillImage,application/pdf,,,
blmoor17,Plan_Review.jpg,,,East Oktibbeha High group reviews plans for outdoor alumni project,"Ann M. Tabb, Starkville Daily News",2003,"Discusses the appreciation from school officials of the alumni plan to improve the facilities, as well as give a snapshot of the possibilities once the projects are finished",Projects; EOHS,,,,From the personal collection of Jacqueline Ellis,,Text; StillImage,image/jpeg,,,
blmoor18,Landscaping.jpg,,,Landscaping project underway at EOHS,Starkville Daily News,2004-11-07,Picture and small caption of the landscaping project at EOHS,Projects; EOHS,,,,From the personal collection of Jacqueline Ellis,,Image; Text,image/jpeg,,,
blmoor19,Education_Outdoors.jpg,,,Education moves outdoors with East Oktibbeha's amphitheater,"Skip Descant, The Commercial Dispatch",2008-04-20,"The ribbon cutting for the ampitheater is noted, discussing the benefits of the process to this point, as well as the benefits to come.  ",Projects; EOHS,,,,From the personal collection of Jacqueline Ellis,,Text; Image,image/jpeg,,,
blmoor20,Ampitheater.pdf,,,Amphitheater/outoor classroom dedicated at EOCHS,"Brian Hawkins, Starkville Daily News",2008-04-20,"Discusses the opening of the ampitheater and the process to get there, including Rice's donation and Eliis's patience.",Projects; EOHS,,,,From the personal collection of Jacqueline Ellis,,Text; Image,application/pdf,,,
blmoor21,EO_Hosts.pdf,,,East Oktibbeha County Host Alumni Students,Jacqueline Ellis,2003-05-24,A newsletter Jacqueline Ellis wrote up to keep others informed on the events occurring. ,EAEOCS; Event; Projects,,,,From the personal collection of Jacqueline Ellis,,Text,application/pdf,,,
blmoor22,Rice_Career.pdf,,,It all started at B.L. Moor: Rice's football career traced to Oktibbeha County School,"Danny P. Smith, Starkville Daily News",2010-08-06,"Rice, while discussing his football careet, mentions playing at B.L. Moor and names E.N. Wicks and Charles Davis as influencing him to start playing. ",Rice; Football,,,,From the personal collection of Jacqueline Ellis,,Text; StillImage,application/pdf,,,
blmoor23,Rice_Donates.pdf,,,"NFL star donates $30,000 to project","Valerie Matchette, The Commerical Dispatch",2004-06-13,"Rice discusses how donating $30,000 is just a small gesture to give back to what B.L. Moor provided him.",Rice; Projects; B.L. Moor; EOHS,,,,From the personal collection of Jacqueline Ellis,,Text; StillImage,application/pdf,,,
blmoor24,Merging_Systems.pdf,,,"Merging systems would be an arduous project, hard sell","Valerie Matchette, The Commerical Dispatch",2004-06-13,"A news report discussing how superintendents Lester Beason, Larry Box, Dan Camp, and Walter Conley view the merging of schools, which would happen in 2015.",Consolidation; Education,,,,From the personal collection of Jacqueline Ellis,,Text; StillImage,application/pdf,,,
blmoor25,SDN_Rice30k.pdf,,,Jerry Rice Gives 30k for Project,Starkville Daily News,2004-06-12,"News report of how Jerry Rice plans to give $30,000 to break ground on projects surrounding the B.L. Moor campus",Projects; Jerry Rice,,,,From the personal collection of Jacqueline Ellis,,Text; StillImage,application/pdf,,,
blmoor26,Yearbook_Cover.jpg,,,77 Yearbook Cover,,1977,"1977 yearbook cover titled ""Memories"" with a collage of photos on the front.",Yearbook; B.L. Moor,,,,Queen Wilson Malone personal collection,,Image; StillImage,image/jpeg,,,
blmoor27,1977Football.jpg,,,Moor High Seeks Third Win,,1977,"A newspaper cutout in the yearbook of '77 showcasing the football team, including their names. ",Football; B.L. Moor,,,,From James Harold Smith's personal collection,,Image; Text,image/jpeg,,,
blmoor28,Conley_Bragging_Points.pdf,,,"""Bragging Points""",Dr. Walter Conley,2007,"Dr. Conley highlights the excellence of the EOCHS's academics, facilities, athletics, and technology by providing statistics, facts, and general information.  ",Education; EOCHS,,,,From the personal collection of Jacqueline Ellis,,Text; List,application/pdf,,,
blmoor29,Letter_Transmittal.pdf,,,Letter of Transmittal,H.M. Ivy (Associated Consultants in Education Director),1956-05-02,"Letter from H.M. Ivy discussing the precedent of reorganization and reconstituition of community church schools into what will become B.L. Moor High, discussing desired attendance numbers and expectations, the need for good teachers and physical facilities, and outlines the present facilities of white and black schools.",Consolidation; Education,,,,From the personal collection of Jacqueline Ellis,,Text; transmittal,application/pdf,,,
blmoor30,Moor_Highlights.jpg,,,Highlights of Moor High 1960-2002,B.L. Moor Alumni,2009,"A timeline of various events, achievments, and occurrences at B.L. Moor between 1960-2002 - opening until consolidation into EOCHS. It appears in the 2009 reunion program.",Reunion; Achievements; Information,,,,From the personal collection of Jacqueline Ellis,,Text; timeline,image/jpeg,,,
blmoor31,List_Staff_Faculty.jpg,,,Guardians of Civilization,B.L. Moor Alumni,2009,"A list of staff and faculty and a short description of how long they worked for B.L. Moor, including the position they were in.",Reunion; Staff,,,,From the personal collection of Jacqueline Ellis,,Text; List,image/jpeg,,,
blmoor32,2009Reunion_Attendees.jpg,,,2009 B.L. Moor and Pleasant Grove Reunion Attendees,B.L. Moor Alumni,2009,A list of the names and ages of those present at the 2009 reunion.,Reunion,,,,From the personal collection of Jacqueline Ellis,,Text; List,image/jpeg,,,
blmoor33,2015Reunion_Attendees.jpg,,,2015 B.L. Moor and Pleasant Grove Reunion Attendees,B.L. Moor Alumni,2015,A list of the names and ages of those present at the 2009 reunion.,Reunion,,,,From the personal collection of Jacqueline Ellis,,Text; List,image/jpeg,,,
blmoor34,Moor_Coaches.jpg,,,Picture of Coaches,Starkville Daily News,1977,A picture of coaches Charles Davis and Wade. ,Football; Coaches,,,,From James Harold Smith's personal collection,,Image; Text,image/jpeg,,,
blmoor35,Opener_Prep.jpg,,,Moor Prepares for Opener With Lexington,"George Miller, Starkville Daily News",1977,"News report covering the opener, along with many descriptions of the players, as well as a picture of the Moor starting backfield.",Football,,,,From James Harold Smith's personal collection,,Text; StillImage,image/jpeg,,,
blmoor36,Early_Team.jpg,,,Early Football Picture,B.L. Moor,1968-1970,"One of first football teams of B.L. Moor High School. From left to right on front row: Coach Charles Davis, Edward Townsel (15), Freddie Milon, Willie Dunlap, Andrew Peterson (22), Jimmy Sanders (21), Matthew Seals (kneeling), Leroy Johnson, ""Mealhouse"" (63), ""Lint"" Coffen, Roy Carter, Samp Wilson, Elbert L. Young (64). From left to right middle: Alfonso Townsel, Don White, Harold Kemp, James Wilson, Willie Clyde Ellis, *unknown*, Dawsom Minor, Willie Sanders, Willie E. Thomas, Alex Edwards, Tobola Miles, Coaches James Smith. Top Row from left to right: Walter Rice, *unknown*, Robert Rice, *unknown*, *unknown*, Mark Seals, *unknown*, Leon Brown, *unknown*. ",Football,,,,From James Harold Smith's personal collection,,Image; StillImage,image/jpeg,,,
blmoor37,Little_MsMrMoor.jpg,,,Little Mr. and Ms. Moor High,B.L. Moor,1977-1978,"Picture of a young boy and girl who won Mr. and Ms. Little Moor High standing together in their homecoming attire, including the girl wearing a tiara and sash. ",Homecoming,,,,From James Harold Smith's personal collection,,Image; StillImage,image/jpeg,,,
blmoor38,Six_Players.jpg,,,Six Football players in a Blue Uniform,,1975-1976,"Picture of six - three standing, three kneeling - football players. Standing row #'s: Wilson (65), Novell Jackson (81), Will Turnip Seed (61). Kneeling row #'s: Eugene Bash (62), Cedric Akins (30), Richard Halfacre (73). ",Football,,,,From James Harold Smith's personal collection,,Image; StillImage,image/jpeg,,,
blmoor39,Football_Lineup.jpg,,,Lineup of Football Players in Yello Uniform ,,1968,"Picture of one of the earliest, if not the first, football team lined up outside a building wearing yellow uniforms. ",Football; Team,,,,From James Harold Smith's personal collection,,Image; StillImage,image/jpeg,,,
blmoor40,Big_Game.jpg,,,Moor High in Big Game with Amanda Elzy in Delta,Staff photo by Turner,1977,"News report about the upcoming game and some history of their matchmaking, complemented by a photo of Moor centers.",Football,,,,From James Harold Smith's personal collection,,Text; StillImage,image/jpeg,,,
blmoor41,Moor_Tchula1.jpg,,,Moor Plays to Host Tchula,,1977-10,"Moor running backs are pictures with a write up of their 4-1 record, which was the best in the county. ",Football,,,,From James Harold Smith's personal collection,,Text; StillImage,image/jpeg,,,
blmoor42,Moor_Tchula.jpg,,,Moor Blanks Tchula To Up Mark To 5-1,,1977-10,A picture of Moor High homecoming queen getting crowned and a write up of the football team beating Tchula.,Homecoming; Football,,,,From James Harold Smith's personal collection,,Text; StillImage,image/jpeg,,,
blmoor43,1970_WBB.jpg,,,Women's Varsity Basketball Team Picture,Starkville Daily News,1970,"Team photo of Women's Varsity Basketball while #51, #50, and #53 hold three different trophies in the across the photo. Bottom from Left to Right: Schoolkeeper Diana Malone, Betty Joe (51), Virgie Snell, Marcella Townsel, Joe Ree Malone (kneeling), Rice (44), Mary Ellla Bell, Stella Harris, Wilma Calmes. Top Left to Right: Mary Minor, Cornell White, Barbara Blair, Gertie B. Sykes, Lodina Evans, *unknown*, *unknown*, Coach Floyd Wade.",Basketball,,,,From James Harold Smith's personal collection,,Image; StillImage,image/jpeg,,,
blmoor44,1970JV_WBB.jpg,,,Women's JV Basketball Team ,,1970-1971,"A picture of the JV backetball team, meaning they did not exceed 8th grade. Pictured: Teresa Sanders, Maddie Moore, Stella Randell, Shirley Ellis, Maddie Bell, Vera Jones, Patricia Stallings, Marlyn Stallings, Shirley Sharp, Coach James Harold Smith.",Basketball,,,,From James Harold Smith's personal collection,,Image; StillImage,image/jpeg,,,
blmoor45,Homecoming_Couples.jpg,,,Homecoming Couples,,1976-1977,Picture of homecoming court at B.L. Moor high. Eight girls in white dresses stand behind seven boys in black suits kneeling below them.,Homecoming,,,,From James Harold Smith's personal collection,,Image; StillImage,image/jpeg,,,
blmoor46,1971_2_Band.jpg,,,B.L. Moor Band,,1971-1972,"A picture of the entire band. This is the first year the band received uniforms and instruments, hence they took these photos. However, they made thier own majorettes. Bottom Left to Right: Peggy Evans, Kate Colbert, Rita Akins, Shirley Young, *unknown*, Brenda Rice, Bert Koger, Louise Wilson, Linda Colbert, Wilson, Gennette Jackson, Carol Jean Colbert, Pratter Brown, Geneva Watt. first row from bottom Left to Right: Shirley Hart, Karen Beckum, Vannessa McGee, Venita Poe, Yvonne Ellis, Linda Poe, Dollie Wilkinson, Nan Dancer, Smith, Evelyn Ellis, E.N. Wicks, W.B. Jones. Second row from bottom: Pocahontas Stevenson, Kate Brooks, *unknown*, John Ingram, Deloach, Karl K. Edwards, Joyce Habbard, Barbara Malone. Third row from bottom: Dwight King, Carol Bibbs, Egger Mosley, Shelia Ward, *unknown*, Charolotte Bell, *unknown*, Linda Fae Ellis. Back row: Jerome Bash, Joe Robinson, *unknown*, *unknown*, Larry Gillespie, *unknown*, Richard Bibbs, Ricky Specer, Charles Mobley.",Band; B.L. Moor,,,,From James Harold Smith's personal collection,,Image; StillImage,image/jpeg,,,
blmoor47,Four_Players.jpg,,,Four Football Players Pose Together,,1976,"Four players, Sandy Watt (33), Lamar Gandy (11), Lexie Tate (22), and Kent Thomas (10), pose for a picture in their blue and yellow/gold uniforms.",Football ,,,,From James Harold Smith's personal collection,,Image; StillImage,image/jpeg,,,
blmoor48,7475Football.jpg,,,Football Players #74 and #75,,1976,"Two young men, numbers 74 and 75, pose for a picture in their blue and yellow/gold uniforms.",Football ,,,,From James Harold Smith's personal collection,,Image; StillImage,image/jpeg,,,
blmoor49,Miss_Choir.jpg,,,Miss Choir with Date,,1977-1978,Miss Choir and Joe Stevenson posing for homecoming. ,Homecoming,,,,From James Harold Smith's personal collection,,Image; StillImage,image/jpeg,,,
blmoor50,Couple_with_Car.jpg,,,Couple in front of Car,,1977-1978,Shelia Ward and Mary Adams stand in front of a brown car for a picture for homecoming.,Homecoming,,,,From James Harold Smith's personal collection,,Image; StillImage,image/jpeg,,,
blmoor51,Miss_HomeEconomic.jpg,,,Miss Home Economic with Date,,1977-1978,Miss Home Economic with her date posing for homecoming,Homecoming,,,,From James Harold Smith's personal collection,,Image; StillImage,image/jpeg,,,
blmoor52,Miss_DriversEd.jpg,,,Miss Driver's Ed with Date,,1977-1978,Miss Driver's Ed with her date posing for homecoming,Homecoming,,,,From James Harold Smith's personal collection,,Image; StillImage,image/jpeg,,,
blmoor53,Young_Couple.jpg,,,Miss H... with Date,,1977-1978,A young couple of a girl wearing a sash while posing with her date,Homecoming,,,,From James Harold Smith's personal collection,,Image; StillImage,image/jpeg,,,
blmoor54,Crowning.jpg,,,Crowning at Homecoming,,1977-1978,A girl gets crowned for homecoming as a young gentlemen watches alongside.,Homecoming,,,,From James Harold Smith's personal collection,,Image; StillImage,image/jpeg,,,
blmoor55,Cafeteria_Worker.jpg,,,Cafeteria Workers,,1977-1978,Rosy Malone and Vergie Akins pose for a picture while dressed in work attire.,B.L. Moor,,,,From James Harold Smith's personal collection,,Image; StillImage,image/jpeg,,,
blmoor56,2007Reunion_TitlePage.jpg,,,2007 Reunion Title Page,Jaqueline Ellis,2007,The title page of the 2007 reunion with a overview of the birth of B.L. Moor and its family. ,Reunion; Summary,,,,From the personal collection of Jacqueline Ellis,,Text,image/jpeg,,,
blmoor57,MsConley.jpg,,,Ms. Emma M. Conley,Jaqueline Ellis,2009,A short summary of Ms. Conley's service to the school and other organizations that she is a part of as of 2009.,Reunion; Summary,,,,From the personal collection of Jacqueline Ellis,,Text; StillImage,image/jpeg,,,
blmoor58,Tribute_to_JamesSmith.pdf,,,Tribute to Dr. James Harold Smith,Charles Wicks,2009,"Charles Wicks, a former football player and the son of principle E.N. Wicks, writes a tribute to his former coach, recounting many memories and thanking Dr. Smith.",Coach; Football; Summary,,,,From the personal collection of Jacqueline Ellis,,Text,application/pdf,,,
blmoor60,Rice_CoverPage.jpg,,,Jerry Rice Cover for Alumni Banquet,B.L. Moor Alumni,2004-06-11,Cover page for an alumni banquet with Jerry Rice on the front of it.,Banquet; Jerry Rice,,,,From the personal collection of Jacqueline Ellis,,Text; StillImage,image/jpeg,,,
blmoor61,Alumni_Preserve.pdf,,,Black alumni of Starkville fight to preserve,"Earnest McBride, Local News",2023-05-18,"News article which explains the situation surrounding the section 16 land being sold despite the alumni's expectations. This goes on to discuss Jim Crow history, too. ",Alumni; preservation,,,,From the personal collection of Jacqueline Ellis,,Text; StillImage,application/pdf,,,
blmoor62,Rice_Celebration.jpg,,,Celebrating with Rice,Starkville Daily News,2010-08-15,"News report about EAEOC board members celebrated with Rice after he was inducted into the NFL Hall of Fame in Canton, Ohio. ",Rice; Football,,,,From the personal collection of Jacqueline Ellis,,Image;Text,image/jpeg,,,
blmoor63,EO_HostingEvents.jpg,,,East Oktibbeha group hosting area events,The Commercial Dispatch,2004-06-09,News report explaining the plans to host events in order to fundraise for the landscape projects.,Projects; EOHS,,,,From the personal collection of Jacqueline Ellis,,Text,image/jpeg,,,
blmoor64,EOHSProject_Sketch.jpg,,,EOHS Sketch,Jaqueline Ellis,2003-2004,"A sketch of the EOHS campus and the projects that alumni desired to complete, such as an ampitheater, a pavillion, and a garden. ",Projects; EOHS,,,,From the personal collection of Jacqueline Ellis,,Image; Sketch,image/jpeg,,,
blmoor65,WBB_TeamPhoto.jpg,,,1977 Women's Basketball Team Picture,,1977,A newspaper cutout in the 1977 yearbook of the 1977 women's basketball team.,Basketball,,,,Queen Wilson Malone personal collection,,Image; StillImage,image/jpeg,,,
blmoor66,BB_Schedule.jpg,,,Written Basketball Schedule,,1977,The basketball schedule within the yearbook.,Basketball,,,,Queen Wilson Malone personal collection,,Text; handwritten,image/jpeg,,,
blmoor67,Prices_Today.jpg,,,Price List,,1977,A list of prices of different items from 1977 in a yearbook.,Yearbook,,,,Queen Wilson Malone personal collection,,Text; handwritten,image/jpeg,,,
blmoor68,Football_Schedule.jpg,,,77 Football Schedule,,1976,Written account in a yearbook of the 1976 football schedule. ,Yearbook; B.L. Moor,,,,Queen Wilson Malone personal collection,,Text; handwritten,image/jpeg,,,
blmoor69,Class_Schedule.jpg,,,77' Class Schedule,,1976-1977,An individual's daily schedule written out by class name and time.,Yearbook; B.L. Moor,,,,Queen Wilson Malone personal collection,,Text; handwritten,image/jpeg,,,
blmoor70,Teacher_Names.jpg,,,A Student's Teachers' Names,,1976-1977,A list of a student's teachers' names and their schedule. ,Yearbook; Teachers; B.L. Moor,,,,Queen Wilson Malone personal collection,,Text; handwritten,image/jpeg,,,
blmoor71,77Graduating_Seniors.jpg,,,Graduating Seniors '77,,1977,A list of all the seniors who were graduating in '77.,Yearbook; B.L. Moor,,,,Queen Wilson Malone personal collection,,Text; Image,image/jpeg,,,
blmoor72,New_Band_Unis.jpg,,,Moor High Band Has New Uniforms,,1977-12,News article discusses the new band uniforms Moor high wore at the Starkville Christmas parade.,Band; parade,,,,From Coach James Harold Smith's personal collection,,Text; Image,image/jpeg,,,
blmoor73,Miss4H.jpg,,,Miss 4H and Others,,1977-1978,Four individuals pose for a picture. Miss 4H is on the far left next to another woman who is next to another boy and girl.,Homecoming,,,,From Coach James Harold Smith's personal collection,,Image; StillImage,image/jpeg,,,
blmoor74,Homecoming_Couple.jpg,,,Homecoming Couple,,1977-1978,A couple standing in front of a car ,Homecoming,,,,From Coach James Harold Smith's personal collection,,Image; StillImage,image/jpeg,,,
blmoor75,Moor_Holds.jpg,,,Moor Holds Off Durant 14-12,,1977,"News report over how Moor progressed to 7-1 after a tough, low scoring game.",Football,,,,From Coach James Harold Smith's personal collection,,Text,image/jpeg,,,
blmoor76,Home_Opener.jpg,,,Motley Routed 46-0 In Home Opener,Dave Basinger Jr.,1977-10,"A report covering Moor High's third straight win, and their home opener. There is a picture from the game included, as well as some written labeling on the page.",Football,,,,From Coach James Harold Smith's personal collection,,Text; Image,image/jpeg,,,
blmoor77,Moor_Tackles.jpg,,,Moor Tackles,,1975,Six B.L. Moor football tackles pose for a picture before hosting Macon county. ,Football,,,,From Coach James Harold Smith's personal collection,,Image; Text,image/jpeg,,,
blmoor78,Varsity_Eagles.jpg,,,Varisty Eagles,"Starkville Daily News, Staff Photo - Harris",1974,Team photo of the varsity football team with a caption about them playing Greenwood Elzy later that night. ,Football,,,,From Coach James Harold Smith's personal collection,,Image; Text,image/jpeg,,,
blmoor79,Lexington_and_Guards.jpg,,,Moor Beats Lexington and Moor Guards,Starkville Daily News,1977,Two separate newspaper clippings - one covers Moor defeating Lexington and the other showcases the guards for Moor high.,Football,,,,From Coach James Harold Smith's personal collection,,Text; StillImage,image/jpeg,,,
blmoor80,Alexander_Motley.jpg,,,Opponents Alexander and Motley,Starkville Daily News,1977,"Two different reports covering the games of ""arch-rivals Alexander"" and Motley. ",Football,,,,From Coach James Harold Smith's personal collection,,Text,image/jpeg,,,
blmoor81,Hosting_McAdams.jpg,,,Moor Playing Host to McAdams,Staff Photo - Turner,1978,A write up of the upcoming game with a complimentary picture of five Moor high guards.,Football,,,,From Coach James Harold Smith's personal collection,,Text; StillImage,image/jpeg,,,
blmoor82,MoorHighFootball.jpg,,,77 Moor High Football Team,Staff Photo - Turner,1977,"Newspaper picture of the ""1977 edition of the Moor High School football team.""",Football,,,,From Coach James Harold Smith's personal collection,,Image; Text,image/jpeg,,,
blmoor83,Moor_Undefeated.jpg,,,Moor Goes Undefeated,Starkville Daily News,1978-10-28,A write up of B.L. Moor finishing their regular season undefeated and how they are headed to the Conference championship - Jerry Rice's performance is mentioned within the article. ,Football; Rice,,,,From Coach James Harold Smith's personal collection,,Text,image/jpeg,,,
blmoor84,Defensive_Secondary.jpg,,,"Moor Coming Off 8-2 Season, Hitting Road for Lexington",Harry McAnnally,1977-1978,"Tattered report of upcoming 1978 season with a picture of Moor's defensive secondary, including Jerry Rice.",Football; Rice,,,,From Coach James Harold Smith's personal collection,,Image; Text,image/jpeg,,,
blmoor85,Moving_Up.jpg,,,Moor Hopes to Continue Moving Up,Starkville Daily News,1974,"Picture of the running backs from 1974, but the report itself is cut off. ",Football,,,,From Coach James Harold Smith's personal collection,,Image; Text,image/jpeg,,,
blmoor86,Central_Div_Champs.jpg,,,Central Division Champs,"Starkville Daily News, Staff Photo - Harris",1974,Team football picture of the '74 Eagles who had just won the Central Division championship and who were soon to play JFK for the conference title.,Football,,,,From Coach James Harold Smith's personal collection,,Image; Text,image/jpeg,,,
blmoor87,Moor_Ends.jpg,,,Moor Ends,Staff Photo - Turner,1974,Picture of eight Moor football ends.,Football,,,,From Coach James Harold Smith's personal collection,,Image; Text,image/jpeg,,,
blmoor88,Sights_Title.jpg,,,Moor Sets Sights on Title,Starkville Daily News,1978-11-10,A report of the Eagles taking on the East Side Trojans for the conference title.,Football,,,,From Coach James Harold Smith's personal collection,,Text,image/jpeg,,,
blmoor89,Easy_Win.jpg,,,Moor High Easy Winner Over Greenwood Elzy,,,A retelling of Moor High's win over Greenwood Elzy.,Football,,,,From Coach James Harold Smith's personal collection,,Text,image/jpeg,,,
