objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
blmoor90,Untold_Legacy.pdf,,,Untold Legacy of B.L. Moor High School: 1960-2015,Jacqueline Ellis; Joseph Jones,2023-06-17,"Booklet handed out at the Legacy Ball on Juneteenth weekend, held at the Mill/Mariott Conference Center.",Juneteenth,,,,From the personal collection of Jacqueline Ellis,,Image; Text,application/pdf,,,
blmoor91,Moor_Marker.jpg,,,B.L. Moor Historical Marker,Parker C. Haley,2023-06-19,"A picture of the historical marker located on section 16 land where B.L. Moor previously occupied. The picture was taken at the unveiling ceremony on Juneteenth, 2023.",Juneteenth,,,,Mississippi University for Women Collection,,Image; StillImage,image/jpeg,,,
blmoor92,Group_Marker.jpg,,,Group with Historical Marker,Parker C. Haley,2023-06-19,"A group, including Jacqueline Ellis and Mr/Mrs. Conley, pose with the historical marker.",Juneteenth,,,,Mississippi University for Women Collection,,Image; StillImage,image/jpeg,,,
blmoor93,Group_Marker1.jpg,,,Attendees with Historical Marker,Parker C. Haley,2023-06-19,All the alumni attendees gather around the historical marker for a group photo.,Juneteenth,,,,Mississippi University for Women Collection,,Image; StillImage,image/jpeg,,,
blmoor94,Conley_Marker.jpg,,,Conley Speech,Parker C. Haley,2023-06-19,"Former superintendent Walter Conley speaks shortly after the unveiling of the historical marker, expressing his appreciation and memories, as well as the excellence that derived from B.L. Moor.",Juneteenth,,,,Mississippi University for Women Collection,,Image; StillImage,image/jpeg,,,
blmoor95,Untold_Legacy.pdf,,,Class of 1972,Joseph Jones; Jacqueline Ellis,2023-06-17,"A reflection from alumni Joseph Jones appearing in the Untold Legacy booklet handed out at the Legacy Ball, 2023. Includes a short summary of the multiple consolidations that occurred leading up to what is now the Starkville-Oktibbeha Consolidated School District, a remembrance of Dr. Smith's life, and a list of names of sponsors and those recognized. ",Juneteenth; Legacy,,,,From the personal collection of Jacqueline Ellis,,Text,application/pdf,,,
blmoor96,,-gX62yKw4wg,,Unveiling the Historical Marker,Parker C. Haley,2023-06-19,A video of the unveiling of the historical B.L. Moor marker. ,Juneteenth,,,,Mississippi University for Women Collection,,Image; MovingImage,video/mp4,,,
blmoor97,69_JVBB.jpg,,,69 JV Basketball,,1969,"JV Basketball team poses for a team photo. Pictured include: Willie Earl Thomas (21), Willie T. Dunlap (12), Alfonso Townsel (20), Willie Clyde Ellis (14), Mark Seals (22). ",Basketball,,,,From James Harold Smith's personal collection,,Image; StillImage,image/jpeg,,,
blmoor98,Go_Eagles.jpg,,,"Moor High School, Go Eagles!",,1978-1979,"A football team picture, including Jerry Rice. ",Football,,,,From James Harold Smith's personal collection,,Image; StillImage,image/jpeg,,,
blmoor99,Breaking_Ground.pdf,,,EAEOCS breaks ground for alumni project,"Ann M. Tabb, Starkville Daily News",2004,Report about the beginning of the campus projects and their future plans with the projects.,Projects,,,,From the personal collection of Jacqueline Ellis,,Text; StillImage,application/pdf,,,
blmoor100,Book_Excerpt.jpg,,,Excerpt from Rice,"Michael Silver and Jerry Rice, St. Martin's Press: New York",1996,An excerpt from Silver and Rice's book Rice which discusses some of his playing time at B.L. Moor. The book can be found here: https://www.amazon.com/Rice-Jerry/dp/0312147953 ,Rice; Football,,,,From the personal collection of Jacqueline Ellis,,Text,image/jpeg,,,
blmoor101,Multipurpose_Project.pdf,,,Multipurpose Project for 1699 Moor High Road ,Jacqueline Ellis,2016,"An overview of who EAEOCS is and their goals with section 16 land. They ask for this packet to serve as an official application as a partner with the land and list four different points which express their goals, including a cultural center of education and history and educational support system for teachers, community health education and fitness programs, and ACT prep, tutors, and math/reading enrichment for anyone. The application lists community partners and their use of the land as well.",Projects; EAEOCS,,,,From the personal collection of Jacqueline Ellis,,Text; Summary,application/pdf,,,
blmoor102,Estate_Appraisal.jpg,,,Wildlife Dominion Real Estate Appraisal,Robbie Taylor,2020-10-02,"Email correspondance with the Wildlife Dominion over the section 16 land appraisal, including suspected school renovation costs and the Wildlife Dominion's predilection toward the property. ",Projects; EAEOCS,,,,From the personal collection of Jacqueline Ellis,,Text,image/jpeg,,,
blmoor103,Rice_Autograph.jpg,,,Jerry Rice Autographed Headshot,Jacqueline Ellis,2010,A signed headshot of Jerry Rice when he played for the San Francisco 49's.,Football; Rice,,,,From the personal collection of Jacqueline Ellis,,Image; Text,image/jpeg,,,
blmoor104,Ellis_Unveiling.jpg,,,Ellis at Unveiling,Parker C. Haley,2023-06-19,Jackie Ellis speaks at the unveiling of the B.L. Moor historical marker.,Juneteenth,,,,Mississippi University for Women Collection,,Image; StillImage,image/jpeg,,,
blmoor105,EAEOCS_Timeline.pdf,,,EAEOCS Timeline,Jacqueline Ellis,2021-09-06,"A timeline covering EAEOCS's efforts to acquire section 16 land such as appearing in front of the Board of Supervisors and requesting hearings. The beginning of the timeline concerns the initial steps that were taken to acquire land for the community center project, and chronicles drafting proposals, meetings with superintendent and DOJ, etc. ",Projects; EAEOCS,,,,From the personal collection of Jacqueline Ellis,,Text; Timeline,application/pdf,,,
blmoor106,Inside_Facts.pdf,,,Speculated Happenings,Jacqueline Ellis,2020-2021,A list of suspected happenings that ruined the chances of EAEOCS from acquiring land as desired. ,Projects; EAEOCS,,,,From the personal collection of Jacqueline Ellis,,Text; List,application/pdf,,,
blmoor108,0001Moor_Graduates.jpg,,,Moor Graduates,,2001,B.L. Moor graduates from 2001 with the motto at the bottom of the photo. ,Graduation,,,,From the personal collection of Jacqueline Ellis,,Image; Text,image/jpeg,,,
blmoor109,State_of_District.pdf,,,State of the District,Dr. Walter Conley,2007,Dr. Conley outlines the current state of the schools academically and atheltically.,EOCHS; Academics; Athletics,,,,From the personal collection of Jacqueline Ellis,,Text; Summary,application/pdf,,,
blmoor110,Conley_Interview.pdf,,,Conley Interview Transcript,Dr. Walter Conley,2007,"Dr. Conley's interview (i.e., the questions and his answers) are recorded in print. He notes some of the original teachers', custodians', and bus drivers' names. ",Education; EOCHS; Consolidation,,,,From the personal collection of Jacqueline Ellis,,Text; Transcript,application/pdf,,,
blmoor111,2015.jpg,,,2015 Cover,Jacqueline Ellis,2015,A page header that has highlights of what occurred in 2015 after closing ceremony. ,Education; Consolidation,,,,From the personal collection of Jacqueline Ellis,,Text,image/jpeg,,,
blmoor112,2016.jpg,,,2016 Cover,Jacqueline Ellis,2016,2016 page header and highlights of their continued efforts to acquire the section 16 property.,Projects; EAEOCS,,,,From the personal collection of Jacqueline Ellis,,Text,image/jpeg,,,
blmoor113,2017.jpg,,,2017 Cover,Jacqueline Ellis,2017,2017 header with highlights such as beginning legal process to acquire section 16 land.,Projects; EAEOCS,,,,From the personal collection of Jacqueline Ellis,,Text,image/jpeg,,,
blmoor114,2018.jpg,,,2018 Cover,Jacqueline Ellis,2018,2018 header covers their nect steps in acquiring land by contacting superintendent and BOS bid.,Projects; EAEOCS,,,,From the personal collection of Jacqueline Ellis,,Text,image/jpeg,,,
blmoor115,2019.jpg,,,2019 Cover,Jacqueline Ellis,2019,2019 header on EAEOCS appearing at courthouse and the events that proceeded ,Projects; EAEOCS,,,,From the personal collection of Jacqueline Ellis,,Text,image/jpeg,,,
blmoor116,2020.pdf,,,2020 Cover,Jacqueline Ellis,2020,2020 header with more specific dates of the events that occurred throughout the year surrounding the failed acquisition of section 16 land. ,Projects; EAEOCS,,,,From the personal collection of Jacqueline Ellis,,Text,application/pdf,,,
blmoor117,2021.jpg,,,2021 Cover,Jacqueline Ellis,2021,"2021 header detailing the last year before the Mississippi Development Authority approved the sale to Wildlife Dominion, LLC.",Projects; EAEOCS,,,,From the personal collection of Jacqueline Ellis,,Text,image/jpeg,,,
blmoor118,Future_Unclear_Dispatch.pdf,,,Future of county school campuses unclear,"Alex Holloway, The Dispatch",2019-03-23,Holloway discusses early sentiments of what the supervisors see as potentially occurring with the property but refrain from giving details. ,Projects; EAEOCS; EOCHS,,,,"From The Dispatch, online.",,Text; Image,application/pdf,,,
blmoor120,Resolution_to_Sell.jpg,,,Resolution to Sell Section Sixteenth Lieu Lands For Industrial Use,Summer Davis,2021-05-11,"Legal document with many considerations of what has been agreed upon for the Wildlife Dominion, LLC to acquire section 16 land, including an agreement to reserve an area of the existing building for dedication to Moor High history. ","Projects, B.L. Moor; Preservation",,,,From the personal collection of Jacqueline Ellis,,Text; Document,image/jpeg,,,
blmoor121,Certificate_of_Sale.jpg,,,Certificate Authorizing Sale of Section 16 Land,John W. Rounsaville,2021-07-30,Legal document certifying the Wildlife Dominion's application was received and approved and can now enter into the proposed sale of section 16 land. ,Projects; EAEOCS,,,,From the personal collection of Jacqueline Ellis,,Text; Document,image/jpeg,,,
blmoor122,Sun_Herald_(01-11-12).jpg,,,Lost Accreditation,Sun Herald (quoting Starkville Daily News),2012-11-01,"Newspaper explaining the school losing accreditation, disabling the schools football team from participating in playoffs. ",EOCHS; Football; Consolidation,,,,Newspapers.com,,Text,image/jpeg,,,
blmoor123,Sun_Herald_(26-09-57).jpg,,,Need Financial Plans,Sun Herald,1957-09-26,"Regional discussion surrounding the ""financial plan"" for white flight if/when integration occurs. ",Integration; Education,,,,Newspapers.com,,Text,image/jpeg,,,
blmoor124,Truevine.jpg,,,Truevine,MDAH,,Picture of Truveine Community Church school which was consolidated to B.L. Moor,Education; Consolidation; B.L. Moor,,,,MDAH Online Collections and Archives,,Image; StillImage,image/jpeg,,,
blmoor125,Turnpike.jpg,,,Turnpike,MDAH,,Picture of Turnpike Community Church school which was consolidated to B.L. Moor,Education; Consolidation; B.L. Moor,,,,MDAH Online Collections and Archives,,Image; StillImage,image/jpeg,,,
blmoor126,ChapelHill.jpg,,,Chapel Hill,MDAH,,Picture of Chapel Hill Community Church school which was consolidated to B.L. Moor,Education; Consolidation; B.L. Moor,,,,MDAH Online Collections and Archives,,Image; StillImage,image/jpeg,,,
blmoor127,Bethel.jpg,,,Bethel,MDAH,,Picture of Bethel Community Church school which was consolidated to B.L. Moor,Education; Consolidation; B.L. Moor,,,,MDAH Online Collections and Archives,,Image; StillImage,image/jpeg,,,
blmoor128,Ebenezer.jpg,,,Ebenezer,MDAH,,Picture of Ebenezer Community Church school which was consolidated to B.L. Moor,Education; Consolidation; B.L. Moor,,,,MDAH Online Collections and Archives,,Image; StillImage,image/jpeg,,,
blmoor129,PleasantGrove.jpg,,,Plesant Grove,MDAH,,Picture of Pleasant Grove Community Church school which was consolidated to B.L. Moor,Education; Consolidation; B.L. Moor,,,,MDAH Online Collections and Archives,,Image; StillImage,image/jpeg,,,
blmoor130,PleasantGrove1.jpg,,,Plesant Grove,MDAH,,Another picture of Pleasant Grove Community Church school which was consolidated to B.L. Moor,Education; Consolidation; B.L. Moor,,,,MDAH Online Collections and Archives,,Image; StillImage,image/jpeg,,,
blmoor131,MDAHPetition.pdf,,,Petition for Reorganization,Board of Trustees of Starkville Municipal Seperate But Equal School District,1956-03-12,The petition of the Board of Trustees of Starkville Municipal Seperate But Equal School District discussing the reorganization and reconstituition of school districts.,Integration; Education,,,,MDAH Online Collections and Archives,,Text; Legal,application/pdf,,,
blmoor132,School_District_Decrease.jpg,,,Graph of the Decrease in School Districts,"Howley, Craig, Jerry Johnson, and Jennifer Petrie",2011,A graph showing the decrease of the amount of school districts across the nation between1931-1997.,Consolidation; Education,,,,MDAH Online Collections and Archives,,Text; Legal,image/jpeg,,,
blmoor133,RosenwaldChart.jpg,,,Rosenwald Chart: Enrollment,"McCormick, J. Scott. ",1934,An early (prior to Brown v Board) statistical report on the impact of the Rosenwald schools.,Education; Rosenwald,,,,JSTOR,,Text; Graph,image/jpeg,,,
blmoor134,RosenwaldChart2.jpg,,,Rosenwald Chart: Teacher and Pupil Capacity,"McCormick, J. Scott. ",1934,An early (prior to Brown v Board) statistical report on the impact of the Rosenwald schools.,Education; Rosenwald,,,,JSTOR,,Text; Graph,image/jpeg,,,
blmoor135,RosenwaldChart3.jpg,,,Rosenwald Chart: Total Number of Schools,"McCormick, J. Scott. ",1934,An early (prior to Brown v Board) statistical report on the impact of the Rosenwald schools.,Education; Rosenwald,,,,JSTOR,,Text; Graph,image/jpeg,,,
blmoor136,MaGee.jpg,,,MaGee,MDAH,,Picture of MaGee community church school.,Education; Consolidation; B.L. Moor,,,,MDAH Online Collections and Archives,,Image; StillImage,image/jpeg,,,
blmoor137,PineGrove.jpg,,,Pine Grove,MDAH,,Picture of Pine Grove community church school.,Education; Consolidation; B.L. Moor,,,,MDAH Online Collections and Archives,,Image; StillImage,image/jpeg,,,
blmoor138,St.Matthews.jpg,,,St. Matthews,MDAH,,Picture of St. Matthews community church school.,Education; Consolidation; B.L. Moor,,,,MDAH Online Collections and Archives,,Image; StillImage,image/jpeg,,,
blmoor139,Austin.jpg,,,Austin,MDAH,,Picture of Austin community church school.,Education; Consolidation; B.L. Moor,,,,MDAH Online Collections and Archives,,Image; StillImage,image/jpeg,,,
blmoor140,Rejected_Merger_Plan.jpg,,,Oktibbeha County Schools Reject Merger Plan,Clarion Ledger,1993-04-28,Article explains how Oktibbeha county school trustees requested a meeting with the city board after rejecting their conditions for consolidation.,Education; Consolidation,,,,,,Image; StillImage,image/jpeg,,,
blmoor141,Education_Day.pdf,,,Education Association Hosts Community Day,"Charlie Benton, Starkville Daily News",2018-06-24,Article described the events that took place on former B.L. Moor property which allowed alumni to reconnect and spread awareness of the community center project. ,Education; Juneteenth; B.L. Moor,,,,,,Image; StillImage,application/pdf,,,
blmoor143,EAEOCS_Tussle.pdf,,,Business Tussle,"Tyler B. Jones, The Starkville Dispatch",2021-06-22,"News report concerning EAEOCS's attempts to regain control over the B.L. Moor campus property, or at least partially, in order to have a joint project with the Wildlife Dominion.",Projects; B.L. Moor,,,,Starkville Dispatch,,Image; StillImage,application/pdf,,,
blmoor147,EAEOCS_PP2.jpg,,,EAEOCS Community Center PowerPoint,EAEOCS ,,"PowerPoint EAEOCS presented to propose their vision and mission with the community center that would be placed in B.L. Moor. This includes the description of who EAEOCS is and what they envision the community center would offer, such as History and Culture, Health and Wellness, Education, Park and Recreation, and property improvement. They go on to express the ""Essential Elements"" that would be needed for the center to be successful. Lastly, they included the public and private organizations that could benefit from the center. ",Education; B.L. Moor; Projects,,,,Personal Collection of Jacqueline ellis,,Image; StillImage,image/jpeg,,,
blmoor158,Appraisal.pdf,,,Appraisal of Section 16 Land,"Michael Brooks, W.W. Brooks and Associates",2020-12-08,"Appraisal report of section 16 land where B.L. Moor remained after consolidation in 2015. These pages explain the property conditions, usage suggestions, and estimated value of property as a whole. ",B.L. Moor; Project,,,,Personal Collection of Jacqueline ellis,,Image; StillImage,application/pdf,,,
blmoor165,President_Answers.jpg,,,Property Answers,"Sumner Davis, President of Board of Supervisors",2021-07-03,A numbered list of answers given to EAEOCS about their concerns about how the property was transferred to the Wildlife Dominion. ,Projects,,,,Personal Collection of Jacqueline ellis,,Image; StillImage,image/jpeg,,,
blmoor166,2017_Cover.jpg,,,2017 Reunion Cover,,2017,The cover of the 2017 reunion packet. It showcases the outline of Mississippi in yellow and a blue eagle spreading its wings across it.,B.L. Moor; Reunion,,,,Personal Collection of Jacqueline ellis,,Image; StillImage,image/jpeg,,,
blmoor167,Teacher_List.jpg,,,Names of Teachers,EAEOCS,2017,A list and short summary of the teachers who taught throughout the years at B.L. Moor.,B.L. Moor; Education; Reunion,,,,Personal Collection of Jacqueline ellis,,Image; StillImage,image/jpeg,,,
blmoor168,Schools_Scramble.pdf,,,Schools Scramble to Avoid Takeover,"David Miller, Starkville Dispatch",2012-01-13,"Report covering the potential closing down of Oktibbeha County schools, including the risks involved. Subpoints explain legislation and what where current issues stem from.",Consolidation; Education,,,,Mitchell Memorial Library Special Collections,,Image; StillImage,application/pdf,,,
blmoor170,NAACP_Consolidation.jpg,,,NAACP Suit for Consolidation,"Vicky Oswalt, Starkville Dispatch",,Report of county NAACP president Douglas Conner expresses his support for consolidation by voting to file a suit in the US district court against Starkville School District.,Consolidation; Education,,,,Mitchell Memorial Library Special Collections,,Image; StillImage,image/jpeg,,,
blmoor171,Snakes.jpg,,,Snakes Send Students,Ann M. Tabb,2003-09-18,Report of a snake infestation at East Oktibbeha Elementary sending students home until further notice. ,EOCS,,,,Mitchell Memorial Library Special Collections,,Image; StillImage,image/jpeg,,,
blmoor172,NAACP_Report.jpg,,,NAACP Report,Adrienne Watson,1997-07-24,"Watson, the NAACP national coordinator, explains how NAACP across the nation can take action for improving education for people of color.  ",Education,,,,Mitchell Memorial Library Special Collections,,Image; StillImage,image/jpeg,,,
blmoor173,Back_Pay.jpg,,,Back Pay for Discrimination,"Russell Hood, Starkville Daily News",1998-06-28,Report about how nine current and former employers were given back pay due to the racial discrimination they faced when denied housing from 1971-1980 by Oktibbeha County School District.,EOCS; Discrimination,,,,Mitchell Memorial Library Special Collections,,Image; StillImage,image/jpeg,,,
blmoor174,Parents_Oppose.pdf,,,Moor Parents Oppose Merger,"Greg Kemmis, Starkville Daily News",1985,Explains the discussion of Moor merging with Lowndes county and the response from parents. ,Consolidation; Education,,,,Mitchell Memorial Library Special Collections,,Image; StillImage,application/pdf,,,
blmoor176,Conley_Prepares.jpg,,,Conley Prepares Schools' Defense,The Associated Press,1993-07-20,Expresses Conley's plan to present how test scores have been improverd and how other measures are being taken to mitigate the issues in EOCS. ,Education,,,,Mitchell Memorial Library Special Collections; Clarion Ledger,,Image; StillImage,image/jpeg,,,
blmoor177,Baxter_Consolidation.jpg,,,Baxter Suggests Consolidation,"Shep Montgomery, Starkville Daily News",1993-03-24,Report explains how a consultant believed consolidating Oktibbeha County schools' upper grades with Starkville city schools was the only solution for equal education.,Consolidation; Education,,,,Mitchell Memorial Library Special Collections,,Image; StillImage,image/jpeg,,,
blmoor178,Baxter_Consolidation1.pdf,,,Baxter Suggests Consolidation,"Shep Montgomery, Starkville Daily News",1993-03-24,Report explains how a consultant believed consolidating Oktibbeha County schools' upper grades with Starkville city schools was the only solution for equal education.,Consolidation; Education,,,,Mitchell Memorial Library Special Collections,,Image; StillImage,application/pdf,,,
blmoor179,CountySchoolDistrict.jpg,,,County School District,Starkville Daily News,1993-06-23,An overview of various statistics concerning Oktibbeha County School District. ,,,,,Mitchell Memorial Library Special Collections,,Image; StillImage,image/jpeg,,,
blmoor180,Panel_Yanks.jpg,,,Panel Yanks Accreditation,"Shep Montgomery, Starkville Daily News",1993-06-10,Report covering the loss of accreditation for Oktibbeha County School District with a lot of quotes from Dr. Walter Conley.,Education,,,,Mitchell Memorial Library Special Collections,,Image; StillImage,image/jpeg,,,
blmoor181,Pushing_Consolidation.jpg,,,School Board Pushes for Consolidation,Clarion Ledger,1997-07-02,Overview of different options when/if consolidation were to happen.,Consolidation,,,,Mitchell Memorial Library Special Collections,,Image; StillImage,image/jpeg,,,
blmoor182,Approved_MergerBid.jpg,,,County Board Approves Merge,"Shep Montgomery, Starkville Daily News",1993-04-02,Explanation of the meeting that occurred which unanimously voted to merge Oktibbeha County Schools with the Starkville Municipal-Separate School district. ,Education; Consolidation,,,,Mitchell Memorial Library Special Collections,,Image; StillImage,image/jpeg,,,
blmoor183,Consolidation_Solution.pdf,,,Consolidation seen as only solution,"Shep Montgomery, Starkville Daily News",1993-03-30,The report discusses the schools failure to meet standards and what could be done to mitigate these issues. The possibilities and risks involved are also discussed at length. ,Education; Consolidation,,,,Mitchell Memorial Library Special Collections,,Image; Text,application/pdf,,,
blmoor185,16thSectionRevenue.pdf,,,16th Section Land Revenue,"Carol Minyard, Starkville Daily News",,"The news article describes the changes in which section 16 land is being used, as well as the revenue that is coming from it. ",Projects,,,,Mitchell Memorial Library Special Collections,,Image; StillImage,application/pdf,,,
blmoor187,Schools_Await.jpg,,,Schools Await Decision,"Russell Mord, Starkville Daily News",1998-02-19,The plan for spending the $2.6 million given for school improvements are detailed here. ,Projects,,,,,,Image; StillImage,image/jpeg,,,
blmoor188,WhiteFlight.jpg,,,Charts of Private School Enrollment,Charles T. Clotfelter,2004,Two charts that layout the increased enrollment of private schools in the years of integration. ,Education,,,,"Clotfelter, Charles T. Private Schools, Segregation, and the Southern States. Peabody Journal of Education, vol. 79, no. 2, 2004, pp. 7497. JSTOR,",,Image; Chart,image/jpeg,,,
blmoor189,WhiteFlight1.jpg,,,Charts of Private School Enrollment,Charles T. Clotfelter,2005,Two charts that layout the increased enrollment of private schools in the years of integration. ,Education,,,,"Clotfelter, Charles T. Private Schools, Segregation, and the Southern States. Peabody Journal of Education, vol. 79, no. 2, 2004, pp. 7497. JSTOR,",,Image; Chart,image/jpeg,,,
blmoor190,Clarion_Ledger_2002_Arson.jpg,,,Fire Closes Oktoc High,Associated Press,2002,Article reporting on the fire that closed BLMoor for days following arson,Education,,,,Clarion Ledger,,Image; StillImage,image/jpeg,,,
blmoor191,Southern-Illiteracy-Rates.jpg,,,Southern Illiteracy Rates,Robert A. Margo,1990,"A chart from the book Race and School in the South, 1880-1950.",Education,,,,Mitchell Memorial Library,,Image; Chart,image/jpeg,,,
blmoor192,Hoffschwelle_Charts.pdf,,,Rosenwald School Chart,Mary S. Hoffswelle,2006,A chart displaying where Rosenwald schools resided throughout the South.,Education; Rosenwald,,,,Mitchell Memorial Library,,Image; Chart,application/pdf,,,
blmoor193,class-schedule1975.jpg,,,"Class Schedule, 1975",,1975,"1975 senior class schedule, featuring the daily routine, starting with English, government, and trigonometry, and ending with French",Education; B.L. Moor,,,,From the personal yearbook of Marcia Lawerance Patrick,,Image; StillImage,image/jpeg,,,
blmoor194,classof1975.jpg,,,Class of 1975,,1975,Class picture outside Moor High,Education; B.L. Moor,,,,From the personal yearbook of Marcia Lawerance Patrick,,Image; StillImage,image/jpeg,,,
blmoor195,footballteam1975.jpg,,,Football Team of 1975,,1975,"A list of players on the 1975 team, along with their positions",Education; B.L. Moor; athletics,,,,From the personal yearbook of Marcia Lawerance Patrick,,Image; StillImage,image/jpeg,,,
blmoor196,footballschedule1975.jpg,,,Football Schedule of 1975,,1975,"List of cheerleaders, football games, and scores",Education; B.L. Moor; athletics,,,,From the personal yearbook of Marcia Lawerance Patrick,,Image; StillImage,image/jpeg,,,
blmoor197,homecoming-court-1975.jpg,,,Homecoming court of 1975,,1975,"List of queens and kings of the homecoming court, from 1st grade through high school seniors",Education; B.L. Moor; student life,,,,From the personal yearbook of Marcia Lawerance Patrick,,Image; StillImage,image/jpeg,,,
blmoor198,school-band1975.jpg,,,"School band, 1975",,1975,"Seniors in 1975 band, including the drum major, majorettes, and other members and their instruments",Education; B.L. Moor; student life,,,,From the personal yearbook of Marcia Lawerance Patrick,,Image; StillImage,image/jpeg,,,
blmoor199,missmoorhigh1975.jpg,,,"Miss Moor High, 1975",,1975,"Marcia Lawerence Crowned 1975, with Regina Sykes (1st grade) and Tony Bell",Education; B.L. Moor; student life,,,,From the personal yearbook of Marcia Lawerance Patrick,,Image; StillImage,image/jpeg,,,
blmoor200,sessums-trojans.jpg,,,Sessums Trojans,,1975,Moor High 1975 players in community baseball winninigs,Education; B.L. Moor; athletics,,,,From the personal yearbook of Marcia Lawerance Patrick,,Image; Text,image/jpeg,,,
blmoor201,trackteam1975.jpg,,,Moor High Thinclads Tops in Tupelo,,1975,Details and winnings of women's track team against Saltillo and Caledonia,Education; B.L. Moor; athletics,,,,From the personal yearbook of Marcia Lawerance Patrick,,Image; StillImage,image/jpeg,,,
blmoor202,moortrackwomen1975.jpg,,,Moor Eaglettes Tracksters,Miller,1975,Detail of track teams performance in compositions,Education; B.L. Moor; athletics,,,,From the personal yearbook of Marcia Lawerance Patrick,,Image; StillImage,image/jpeg,,,
blmoor203,Anderson_Charts.pdf,,,Rosenwald Charts,James D. Anderson,1988,"Charts detailing the summaries of Rosenwald schools by state, year, enrollment, etc.",Education; Rosenwald,,,,"The education of Blacks in the South, 1860-1935; pp. 155-174",,Image; Text,application/pdf,,,
blmoor204,eochs-plaque.jpg,,,East Oktibbeha County High School Dedication,Jacqueline Ellis,2002-09-01,"The Board of Education's dedication plaque on the building, listing Jossie Redmond (Chairman), Curtis Snell (Vice Chairman), Paula Jones (Secretary), Denise Tennison, Cynthia Ward, and Jimmy Franks as members. ",Education; EOCS,,,,Original photo from Jacqueline Ellis,,Image; StillImage,image/jpeg,,,
blmoor205,trophycase.jpg,,,East Oktibbeha High School Trophy Case,Jacqueline Ellis,,"Trophy case from the EOCHS building, which includes Jerry Rice's ""Crawford Hometown Hall of Famer"" plaque, plus trophies for basketball and track achievements.",Education; EOCS; athletics,,,,Original photo from Jacqueline Ellis,,Image; StillImage,image/jpeg,,,
blmoor206,eochs-building.jpg,,,East Oktibbeha High School Entrance,Jacqueline Ellis,,"The entrance for the EOCHS building, around the time it was erected, cir. 2002.",Education; EOCS,,,,Original photo from Jacqueline Ellis,,Image; StillImage,image/jpeg,,,